이름,명칭 예시,설명,변수 값
유닛 ID,id,시스템 상에서 참조하는 ID 값,(string 값)
유닛 이름,unitName,UI 상에 표시되는 유닛의 이름,(string 값)
유닛 타입,unitType,유닛이 적인지 아군인지,"Ally, Enemy, Stranger(적 칸에 표시되는 이벤트용 NPC 유닛)"
유닛 속성,element,유닛의 속성 상성 타입,"Sword(바람), Medal(흙), Baton(불), Grail(물), Sola(빛), Luna(어둠), Wild(무속성)"
아트 리소스,portraitPath,아트 리소스의 어드레서블 ID,(string 값)
HP 초기 값,maxHP,유닛의 기본 HP 값,(int 값)
에너지 값,maxEnergy,유닛이 파티 합류 시 가산되는 에너지 수치,(int 값)
초기 덱 구성,initialDeckIds,유닛의 초기 덱을 구성하는 카드 ID(복수 입력 가능),(string 값)
초기 장비 스킬,initialSkillId,유닛의 초기 장비 스킬 ID,(string 값)
AI 패턴 ID,aiPatternId,(적일 경우) 유닛의 행동 패턴 ID,(string 값)
