이름,명칭 예시,설명,변수 값
구역 ID,areaId,이벤트가 등장하는 구역 ID,(string 값)
이벤트 ID,id,이벤트 ID,(string 값)
이벤트의 종류,eventType,"해당 이벤트의 속성(비주얼 노벨, 전투 등)","VisualNovel, BattleNormal, BattleElite, BattleBoss, BattleEvent, Encounter"
이벤트 내용,eventValue,"해당 이벤트의 내용(비주얼노벨 파일 어드레서블, 적 유닛 조합 ID)",(string 값)
이벤트 출현 조건,spawnTrigger,해당 이벤트가 출현하기 위해 해결되어야 하는 조건 (없을 시 공란),"ClearCampaign, WinToBoss, OwnCharacter, OwnItem"
부등호,comparisonOperator,변수 값을 비교할 부등호,"Equal, NotEqual, GreaterThan, LessThen, GreaterOrEqual, LessOrEqual"
출현 조건 변수,spawnTriggerValue,이벤트 출현 조건에 대입할 변수 혹은 ID 값,(string 값)
최소 출현 레벨,minLevel,해당 이벤트가 출현할 레벨 범위의 최소값,(int 값)
최대 출현 레벨,maxLevel,해당 이벤트가 출현할 레벨 범위의 최대값,(int 값)
레어도,rarity,해당 이벤트의 출현 희귀도,"Uncommon, Common, Rare, Unique, Epic"
이벤트의 보상 테이블 ID,rewardId,해당 이벤트의 랜덤 보상 테이블 ID (복수 입력 가능),(string 값)
랜덤 보상 갯수 최소치,rewardMinCount,해당 이벤트의 보상 갯수 최소지,(int 값)
랜덤 보상 갯수 최대치,rewardMaxCount,해당 이벤트의 보상 갯수 최대치,(int 값)
